sorg,plant
8750,8750
8750,8760
8300,8330
8300,8302
8650,8650
8650,8663
8650,8655
8650,8658
8650,8662
8650,8651
3000,3000
3000,3002
3000,3010
3000,3014
3000,3016
3000,3018
3000,3022
