Doc_No,Shipment,PurchDoc,Item_1,Material,Material_Description,Plnt,SLoc,PO_Quantity,OUn,OUn1,Item_2,Delivery,Reference,Supplier,POrg,PGr,Vendor,ShPt,DelivDate,Doc_Date,Ext_Order_Pos,Ext_Order_Number,SupplVndr,TrackingNo,Reservation,Reservation_item,Reservation_order_date,Diffdays,key_material
1209005137,10320350,4536942418,1,2198002,"Anchor rod HAS-E-55 3/4""x14""",3000,1,4200000000.0,PC,PC,10,680825785,42203956.0,4601,3000,MX1,4601.0,3000,2024-07-05,2024-06-25,50,56293437,4601,D345935005,13345935,5,2024-06-18,-1.0,3000/2198002
4051444224,10171742,4536521439,1,2332786,Connector MT-C-GSP L A OC,3000,1,4000000000.0,PC,PC,10,209748993,41866609.0,1000415,3000,MX1,9999.0,3000,2024-07-05,2024-04-10,10,56165747,1000415,D092309071,13092309,71,2024-02-19,41.0,3000/2332786
4051444224,10171742,4536521449,1,2272064,Angle connector MT-C-GS OC,3000,1,6000000000.0,PC,PC,10,209749014,41865887.0,1000415,3000,MX1,9999.0,3000,2024-07-05,2024-04-10,180,56209899,1000415,D178939042,13178939,42,2024-03-28,0.0,3000/2272064
4051450500,10200519,4536607532,1,2322101,Shear connector X-HVB 125,3000,1,20000000000.0,PC,PC,10,209821676,41936410.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219484,1000415,D202226005,13202226,5,2024-04-08,0.0,3000/2322101
4051449941,10200563,4536607604,1,2272064,Angle connector MT-C-GS OC,3000,1,200000000.0,PC,PC,10,209821741,41931738.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,20,56217753,1000415,D196779007,13196779,7,2024-04-06,14.0,3000/2272064
4051454836,10221573,4536674225,1,2268508,I.-Channel MT-40 OC,3000,1,3000000000.0,M,M,10,209877268,41984009.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56218051,HAT0564,D197164002,13197164,2,2024-04-06,14.0,3000/2268508
4051454836,10221573,4536674227,1,2268508,I.-Channel MT-40 OC,3000,1,3000000000.0,M,M,10,209877269,41984010.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56218051,HAT0564,D197164002,13197164,2,2024-04-06,14.0,3000/2268508
4051462352,10257435,4536772407,1,2223830,Anchor rod HAS-U 5.8 M16x190,8750,1,14400000000.0,PC,PC,10,680685258,42063003.0,1000415,8750,L01,9999.0,8750,2024-07-30,2024-05-27,10,56252787,1000415,D266593003,13266593,3,2024-05-10,0.0,8750/2223830
4051462352,10257435,4536772410,1,2223823,Anchor rod HAS-U 5.8 M12x160,8750,1,12800000000.0,PC,PC,10,680685260,42063002.0,1000415,8750,L01,9999.0,8750,2024-07-30,2024-05-27,10,56255457,1000415,D274021001,13274021,1,2024-05-13,0.0,8750/2223823
4051467395,10283332,4536840215,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740259,42120464.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467395,10283332,4536840216,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740260,42120465.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051466408,10278825,4536877332,1,2197991,"Anchor rod HAS-E-55 1/2""x6-1/2""",8650,1,25600000000.0,PC,PC,10,680771227,42100064.0,4601,8650,CL1,9999.0,8650,2024-07-08,2024-06-14,10,56264013,4601,D287203001,13287203,1,2024-05-21,-2.0,8650/2197991
4051466408,10278825,4536877333,1,2197991,"Anchor rod HAS-E-55 1/2""x6-1/2""",8650,1,25600000000.0,PC,PC,10,680771228,42100065.0,4601,8650,CL1,9999.0,8650,2024-07-08,2024-06-14,10,56264013,4601,D287203001,13287203,1,2024-05-21,-2.0,8650/2197991
4051472270,10308594,4536903301,1,2005206,Diamond coring tool DD 160 120V,3000,1,140000000.0,PC,PC,10,680792641,92121779.0,HAT0504,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56275912,HAT0504,D312522001,13312522,1,2024-06-03,0.0,3000/2005206
4051472270,10308594,4536903302,1,2005206,Diamond coring tool DD 160 120V,3000,1,140000000.0,PC,PC,10,680792642,92121816.0,HAT0504,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,20,56275912,HAT0504,D312522001,13312522,1,2024-06-03,0.0,3000/2005206
4051471906,10306856,4536907383,1,2256703,Cordless rotary hammer TE 2-22 case,3000,1,240000000.0,PC,PC,10,680795877,56400001517.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56255248,HAT0564,D270741001,13270741,1,2024-05-13,28.0,3000/2256703
4051471906,10306856,4536907389,1,2326712,Cordl. dispenser HDE 500-A12,3000,1,360000000.0,PC,PC,10,680795883,56400001632.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56285892,HAT0564,D331114008,13331114,8,2024-06-12,0.0,3000/2326712
1209005137,10320350,4536942419,1,2198012,"Anchor rod HAS-E-55 1""x20""",3000,1,1920000000.0,PC,PC,10,680825786,42203957.0,4601,3000,MX1,4601.0,3000,2024-07-05,2024-06-25,50,56293440,4601,D345936005,13345936,5,2024-06-18,-15.0,3000/2198012
4051450500,10200519,4536607533,1,2322101,Shear connector X-HVB 125,3000,1,20000000000.0,PC,PC,10,209821677,41936411.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219484,1000415,D202226005,13202226,5,2024-04-08,0.0,3000/2322101
4051450500,10200519,4536607534,1,2322101,Shear connector X-HVB 125,3000,1,20000000000.0,PC,PC,10,209821678,41936413.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219484,1000415,D202226005,13202226,5,2024-04-08,0.0,3000/2322101
4051454836,10221573,4536674222,1,2268516,I.-Channel MT-60 OC,3000,1,3000000000.0,M,M,10,209877265,41984012.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,30,56214619,HAT0564,D192753009,13192753,9,2024-04-03,0.0,3000/2268516
4051454836,10221573,4536674241,1,2268508,I.-Channel MT-40 OC,3000,1,3000000000.0,M,M,10,209877279,41984011.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56234780,HAT0564,D232601006,13232601,6,2024-04-22,0.0,3000/2268508
4051462352,10257435,4536772406,1,2315589,Water supply unit DWP 15-22,8750,1,120000000.0,PC,PC,10,680685257,42063426.0,1000415,8750,L05,9999.0,8750,2024-07-30,2024-05-27,70,56252694,1000415,D266300011,13266300,11,2024-05-09,0.0,8750/2315589
4051466242,10277125,4536825383,1,2254883,Cordl. ham. dr. driver SF 6H-22 case,3000,1,180000000.0,PC,PC,10,680728656,42104922.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,60,56232773,1000415,D226778045,13226778,45,2024-04-19,0.0,3000/2254883
4051467395,10283332,4536840217,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740261,42120466.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467395,10283332,4536840218,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740262,42120467.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467481,80107963,4536844594,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744225,68197548.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051466408,10278825,4536877334,1,2231460,Premium exp anc KB1 1/2x5 1/2,8650,1,19200000000.0,PC,PC,10,680771229,42100066.0,4601,8650,CL1,9999.0,8650,2024-07-08,2024-06-14,20,56264013,4601,D287203002,13287203,2,2024-05-21,-2.0,8650/2231460
4051472270,10308594,4536903304,1,2005206,Diamond coring tool DD 160 120V,3000,1,40000000.0,PC,PC,10,680792643,92121836.0,HAT0504,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,30,56275912,HAT0504,D312522001,13312522,1,2024-06-03,0.0,3000/2005206
4051472270,10308594,4536903310,1,2253770,Batt.-actuated tool BX 3-ME-22 case,3000,1,180000000.0,PC,PC,10,680792647,92122291.0,HAT0504,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56284075,HAT0504,D327536002,13327536,2,2024-06-10,0.0,3000/2253770
4051471906,10306856,4536907381,1,2122712,Rotary hammer TE 3-ML 120V case,3000,1,160000000.0,PC,PC,10,680795875,56400001511.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,20,56248902,HAT0564,D260537010,13260537,10,2024-05-06,0.0,3000/2122712
4051444494,10171975,4536521464,1,2381623,"Cordl. imp. wrench SIW 2-A12 3/8"" box",3000,1,10000000.0,PC,PC,10,209749047,41872668.0,1000415,3000,MX1,9999.0,3000,2024-07-05,2024-04-10,10,56133507,1000415,D025902001,13025902,1,2024-01-19,0.0,3000/2381623
4051450500,10200519,4536607535,1,2322101,Shear connector X-HVB 125,3000,1,20000000000.0,PC,PC,10,209821679,41936414.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219484,1000415,D202226005,13202226,5,2024-04-08,0.0,3000/2322101
4051450500,10200519,4536607536,1,2322101,Shear connector X-HVB 125,3000,1,20000000000.0,PC,PC,10,209821680,41937612.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219484,1000415,D202226005,13202226,5,2024-04-08,0.0,3000/2322101
4051449941,10200563,4536607611,1,2272069,Angle connector MT-C-GL A OC adjustable,3000,1,2400000000.0,PC,PC,10,209821747,41931739.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56224647,1000415,D210362001,13210362,1,2024-04-12,0.0,3000/2272069
4051454836,10221573,4536674223,1,2268516,I.-Channel MT-60 OC,3000,1,3000000000.0,M,M,10,209877266,41984013.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,30,56214619,HAT0564,D192753009,13192753,9,2024-04-03,0.0,3000/2268516
4051454836,10221573,4536674228,1,2268516,I.-Channel MT-60 OC,3000,1,3000000000.0,M,M,10,209877270,41984014.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,20,56218068,HAT0564,D196779008,13196779,8,2024-04-06,0.0,3000/2268516
4051454836,10221573,4536674229,1,2268516,I.-Channel MT-60 OC,3000,1,3000000000.0,M,M,10,209877271,41984015.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,20,56218068,HAT0564,D196779008,13196779,8,2024-04-06,0.0,3000/2268516
4051466242,10277125,4536825387,1,2291205,Cordl. imp. wrench SIW 4AT-22 1/2'' case,3000,1,120000000.0,PC,PC,10,680728659,42104937.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,30,56251354,1000415,D264867016,13264867,16,2024-05-08,0.0,3000/2291205
4051466242,10277125,4536825388,1,2291205,Cordl. imp. wrench SIW 4AT-22 1/2'' case,3000,1,320000000.0,PC,PC,10,680728660,42104934.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,10,56258161,1000415,D274460001,13274460,1,2024-05-14,14.0,3000/2291205
4051467395,10283332,4536840219,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740263,42120468.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467395,10283332,4536840220,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740264,42120469.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467395,10283332,4536840221,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740265,42120470.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467481,80107963,4536844595,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744226,68197562.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844596,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744227,68197568.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844597,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744228,68197585.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051471906,10306856,4536907379,1,2256703,Cordless rotary hammer TE 2-22 case,3000,1,100000000.0,PC,PC,10,680795873,56400001516.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56247938,HAT0564,D257455001,13257455,1,2024-05-06,14.0,3000/2256703
4051450500,10200519,4536607523,1,2337010,Shear connector X-HVB 110,3000,1,20000000000.0,PC,PC,10,209821666,41939712.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,20,56216246,1000415,D195645,13195645,0,2024-04-04,0.0,3000/2337010
4051450500,10200519,4536607524,1,2337010,Shear connector X-HVB 110,3000,1,24000000000.0,PC,PC,10,209821667,41939713.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,20,56216246,1000415,D195645,13195645,0,2024-04-04,0.0,3000/2337010
4051450500,10200519,4536607545,1,2343282,Baseplate MT-B-GL O4C OC,3000,1,240000000.0,PC,PC,10,209821687,41939701.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,20,56221914,1000415,D207223003,13207223,3,2024-04-10,0.0,3000/2343282
4051449941,10200563,4536607597,1,2271452,Bracket MT-BR-40 600 OC,3000,1,1500000000.0,PC,PC,10,209821736,41931742.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56217752,1000415,D196777003,13196777,3,2024-04-06,14.0,3000/2271452
4051449941,10200563,4536607622,1,2272069,Angle connector MT-C-GL A OC adjustable,3000,1,4000000000.0,PC,PC,10,209821762,41931743.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,30,56228457,1000415,D218980002,13218980,2,2024-04-17,-28.0,3000/2272069
4051454836,10221573,4536674232,1,2268516,I.-Channel MT-60 OC,3000,1,3000000000.0,M,M,10,209877272,41984016.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,20,56218068,HAT0564,D196779008,13196779,8,2024-04-06,0.0,3000/2268516
4051454836,10221573,4536674236,1,2268369,I.-Girder MT-90 OC,3000,1,1680000000.0,M,M,10,209877275,41984017.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56223868,HAT0564,D209581001,13209581,1,2024-04-12,14.0,3000/2268369
4051454836,10221573,4536674238,1,2268369,I.-Girder MT-90 OC,3000,1,1680000000.0,M,M,10,209877276,41984018.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56223868,HAT0564,D209581001,13209581,1,2024-04-12,14.0,3000/2268369
4051466242,10277125,4536825389,1,2291205,Cordl. imp. wrench SIW 4AT-22 1/2'' case,3000,1,320000000.0,PC,PC,10,680728661,42104938.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,10,56258161,1000415,D274460001,13274460,1,2024-05-14,14.0,3000/2291205
4051466242,10277125,4536825391,1,2251625,"Cordl. imp. wrench SIW 8-22 1/2"" case",3000,1,320000000.0,PC,PC,10,680728663,42104940.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,30,56264182,1000415,D286656009,13286656,9,2024-05-21,0.0,3000/2251625
4051466242,10277125,4536825392,1,2251625,"Cordl. imp. wrench SIW 8-22 1/2"" case",3000,1,320000000.0,PC,PC,10,680728664,42104941.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,30,56264182,1000415,D286656009,13286656,9,2024-05-21,0.0,3000/2251625
4051467395,10283332,4536840222,1,2268365,I.-Girder MT-70 OC,8650,1,3240000000.0,M,M,10,680740266,42120471.0,HAT0564,8650,CL1,9999.0,8650,2024-07-23,2024-06-07,10,56208281,HAT0564,D164594001,13164594,1,2024-03-21,51.0,8650/2268365
4051467481,80107963,4536844598,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744229,68197600.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844599,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744230,68197608.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844600,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744231,68197623.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051471906,10306856,4536907380,1,2256703,Cordless rotary hammer TE 2-22 case,3000,1,240000000.0,PC,PC,10,680795874,56400001518.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56247938,HAT0564,D257455001,13257455,1,2024-05-06,14.0,3000/2256703
4051471906,10306856,4536907387,1,2203157,Drilling stand DD-ST 160 SFL,3000,1,40000000.0,PC,PC,10,680795881,56400001636.0,HAT0564,3000,MX1,9999.0,3000,2024-08-19,2024-06-19,10,56274112,HAT0564,D304717013,13304717,13,2024-05-30,0.0,3000/2203157
4051450500,10200519,4536607530,1,2200125,Cordl. drill driver SF 2-A12 box,3000,1,60000000.0,PC,PC,10,209821674,41939721.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56219013,1000415,D202546003,13202546,3,2024-04-08,14.0,3000/2200125
4051449941,10200563,4536607598,1,2271452,Bracket MT-BR-40 600 OC,3000,1,1500000000.0,PC,PC,10,209821737,41932654.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,10,56217752,1000415,D196777003,13196777,3,2024-04-06,14.0,3000/2271452
4051449941,10200563,4536607605,1,2272064,Angle connector MT-C-GS OC,3000,1,3500000000.0,PC,PC,10,209821742,41932653.0,1000415,3000,MX1,9999.0,3000,2024-07-10,2024-04-24,20,56217753,1000415,D196779007,13196779,7,2024-04-06,14.0,3000/2272064
4051454836,10221573,4536674239,1,2268369,I.-Girder MT-90 OC,3000,1,1680000000.0,M,M,10,209877277,41984019.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56223868,HAT0564,D209581001,13209581,1,2024-04-12,14.0,3000/2268369
4051454836,10221573,4536674240,1,2268367,I.-Girder MT-80 OC,3000,1,1980000000.0,M,M,10,209877278,41984020.0,HAT0564,3000,MX1,9999.0,3000,2024-07-12,2024-05-07,10,56228619,HAT0564,D220226002,13220226,2,2024-04-17,0.0,3000/2268367
4051466242,10277125,4536825393,1,2336939,Shear connector X-HVB 95,3000,1,2000000000.0,PC,PC,10,680728665,42105074.0,1000415,3000,MX1,9999.0,3000,2024-08-05,2024-06-05,30,56270165,1000415,D297754015,13297754,15,2024-05-28,0.0,3000/2336939
4051467481,80107963,4536844601,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744232,68197706.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844602,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744233,68197743.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844603,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744234,68197980.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844604,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744235,68197982.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
4051467481,80107963,4536844605,1,2123404,Injectable mortar HIT-RE 500 V3/500/1,8650,1,4800000000.0,PC,PC,10,680744236,68198010.0,4051,8650,CL1,9999.0,8650,2024-07-18,2024-06-07,10,56244216,4051,D248082001,13248082,1,2024-04-30,1.0,8650/2123404
